clave,marca,productos
3P,3P,3
ADI,ADI,3
AGUA,AGUA,2
AJAX,AJAX,4
ALDOR,ALDOR,2
ALFONZO,ALFONZO,1
ALVARIGUA,ALVARIGUA,10
AMANECER,AMANECER,4
AMERICANDY,AMERICANDY,1
AMERYCANDY,AMERYCANDY,1
AMY,AMY,1
ANZOATEGUI,ANZOATEGUI,2
ARIEL,ARIEL,3
ATUNMAR,ATUNMAR,1
AVELINA,AVELINA,12
AXE,AXE,6
AXION,AXION,6
BEL,BEL,1
BELLA,BELLA,1
BIANCHI,BIANCHI,7
BLANCA,BLANCA,4
BRISOL,BRISOL,1
BRUSLI,BRUSLI,12
CAMPESTRE,CAMPESTRE,3
CARABOBO,CARABOBO,2
CARBONELL,CARBONELL,1
CARBONERA,CARBONERA,2
CARGILL,CARGILL,1
CELEMA,CELEMA,3
CHERRY,CHERRY,1
CHICCO,CHICCO,2
CHOCOLISTO,CHOCOLISTO,3
CHOCOTIGO,CHOCOTIGO,1
COLGATE,COLGATE,21
COLOMBINA,COLOMBINA,20
COLOMBINA LA,COLOMBINA LA,1
COTOPERI,COTOPERI,7
CRUSTISSIMO,CRUSTISSIMO,1
DALAN,DALAN,6
DALVITO,DALVITO,1
DANIBISK,DANIBISK,6
DAYANI,DAYANI,7
DEL,DEL,3
DELLA,DELLA,2
DENCORUB,DENCORUB,3
DERMOX,DERMOX,3
DIMARE,DIMARE,2
DIOXOGEN,DIOXOGEN,8
DISCA,DISCA,10
DIVA,DIVA,2
DON,DON,10
DOVE,DOVE,9
DRENE,DRENE,7
EINSY,EINSY,1
EL,EL,11
ENERGIZER,ENERGIZER,3
ETERNA,ETERNA,8
EUPHORIA,EUPHORIA,1
EVEBA,EVEBA,6
EVERY,EVERY,44
FABULOSO,FABULOSO,6
FAVORITO,FAVORITO,1
FESTIVAL,FESTIVAL,3
FLIPS,FLIPS,6
FLORALAVANDA,FLORALAVANDA,1
FREEGELLS,FREEGELLS,5
FRESCA,FRESCA,2
FRESCARINI,FRESCARINI,11
FRITZ,FRITZ,49
FRUNAS,FRUNAS,3
GALACTIC,GALACTIC,15
GILLETE,GILLETE,3
GILLETTE,GILLETTE,6
GRAVENCA,GRAVENCA,5
HEAD,HEAD,5
HEADS,HEADS,1
HEINZ,HEINZ,63
HUGGIES,HUGGIES,2
IBERIA,IBERIA,46
INAICA,INAICA,15
INTYFEM,INTYFEM,1
IZYCLEAN,IZYCLEAN,8
JUANA,JUANA,3
KELLOGGS,KELLOGGS,4
KELLOGS,KELLOGS,1
KONFIT,KONFIT,2
KOTEX,KOTEX,12
KRAYS,KRAYS,2
KRON,KRON,3
LA,LA,40
LADY,LADY,9
LAS,LAS,3
LASSIE,LASSIE,2
LAVAN SAN,LAVAN SAN,9
LOKINO,LOKINO,2
LUMALAC,LUMALAC,1
M,M,3
MAGGI,MAGGI,2
MAIZORITOS,MAIZORITOS,7
MARGARITA,MARGARITA,1
MAS,MAS,4
MAVESA,MAVESA,2
MCCORMICK,MCCORMICK,1
MECHAS,MECHAS,1
MENTOS,MENTOS,3
MI,MI,1
MIMADITO,MIMADITO,3
MIMLOT,MIMLOT,9
MIMO,MIMO,1
MIST,MIST,1
MISTOLIN,MISTOLIN,8
MONCLER,MONCLER,9
MONICA,MONICA,1
MONTALBAN,MONTALBAN,5
MULTICLEAN,MULTICLEAN,2
MUNCHY,MUNCHY,25
NATULAC,NATULAC,2
NESTLE,NESTLE,1
NEVEX,NEVEX,4
OKI,OKI,5
OLYMPIA,OLYMPIA,10
ORIENTAL,ORIENTAL,4
OSOLE,OSOLE,3
OVOMALTINA,OVOMALTINA,1
PALMOLIVE,PALMOLIVE,10
PAN,PAN,1
PANTENE,PANTENE,2
PANTERA,PANTERA,26
PARAGUANA,PARAGUANA,3
PARAGUNA,PARAGUNA,1
PAVECA,PAVECA,9
PERCA,PERCA,1
PEROS,PEROS,8
PIN,PIN,6
PINESOL,PINESOL,1
PLAY,PLAY,9
PLUMROSE,PLUMROSE,3
POLLY,POLLY,8
PORTUMESA,PORTUMESA,1
PREMIO,PREMIO,8
PRINGLES,PRINGLES,15
PROTEX,PROTEX,11
PUIG,PUIG,21
RED,RED,1
REINA DEL,REINA DEL,2
REXONA,REXONA,8
REZEPT,REZEPT,2
RICATO,RICATO,1
RIKESA,RIKESA,3
ROBERTI,ROBERTI,17
ROBIN,ROBIN,4
RONCO,RONCO,10
SALTIN,SALTIN,1
SANTONI,SANTONI,11
SAVITAL,SAVITAL,2
SECRET,SECRET,1
SECRETOS DE,SECRETOS DE,7
SECUREZZA,SECUREZZA,3
SEDAL,SEDAL,6
SELVA,SELVA,1
SNICKER,SNICKER,1
SOFIA,SOFIA,9
SONRISSA,SONRISSA,17
SPEED,SPEED,6
ST,ST,3
SUAVITEL,SUAVITEL,6
SUPER,SUPER,14
TIGO,TIGO,72
TODDY,TODDY,1
TRIGO DE,TRIGO DE,33
TRULULU,TRULULU,10
TRULULUGOMITAS,TRULULUGOMITAS,1
TWISTIKESO,TWISTIKESO,1
UNDERWOOD,UNDERWOOD,14
VALE,VALE,4
VALLE,VALLE,4
VANISH,VANISH,5
VASELINE,VASELINE,2
VATEL,VATEL,5
VEL,VEL,2
WOOLITE,WOOLITE,2
WYNCO,WYNCO,1
XPANOLA,XPANOLA,5
YUKERY,YUKERY,1
