mes,archivo,fecha,documento,cliente,efectivo,transferencia_bancaria,cupon,total_pago,estado_captura,ruta_imagen
2026-01,WhatsApp Image 2026-01-10 at 1.27.48 PM.jpeg,2026-01-10,0000000008,"DEPOSITADORA GIGANTE, C.A.",0.0,94.78,0.0,94.78,VERIFICADO,C:\Users\Marcos\Mi unidad\FYS\Pagos_procesados\2026-01\WhatsApp Image 2026-01-10 at 1.27.48 PM.jpeg
2026-01,WhatsApp Image 2026-01-10 at 1.27.48 PM.jpeg,2026-01-10,0000000011,SUPERMERCADO EL ORIENTE DORADO CA,0.0,1279.51,0.0,1279.51,VERIFICADO,C:\Users\Marcos\Mi unidad\FYS\Pagos_procesados\2026-01\WhatsApp Image 2026-01-10 at 1.27.48 PM.jpeg
2026-01,WhatsApp Image 2026-01-12 at 10.55.53 AM.jpeg,2026-01-12,0000032473,"INVERSIONES F&V 2016, C.A",0.0,100.0,0.0,100.0,VERIFICADO,C:\Users\Marcos\Mi unidad\FYS\Pagos_procesados\2026-01\WhatsApp Image 2026-01-12 at 10.55.53 AM.jpeg
2026-01,WhatsApp Image 2026-01-12 at 10.55.53 AM.jpeg,2026-01-12,0000032483,NG DARLI MUNDO FP,0.0,275.78,0.0,275.78,VERIFICADO,C:\Users\Marcos\Mi unidad\FYS\Pagos_procesados\2026-01\WhatsApp Image 2026-01-12 at 10.55.53 AM.jpeg
2026-01,WhatsApp Image 2026-01-12 at 10.55.53 AM.jpeg,2026-01-12,0000032515,AUTOMERCADO DAVID FP,0.0,280.84,0.0,280.84,VERIFICADO,C:\Users\Marcos\Mi unidad\FYS\Pagos_procesados\2026-01\WhatsApp Image 2026-01-12 at 10.55.53 AM.jpeg
2026-01,WhatsApp Image 2026-01-12 at 10.55.53 AM.jpeg,2026-01-12,0000032514,"AUTOMERCADO Y PANADERIA LA NARANJA, C. A.",0.0,116.07,0.0,116.07,VERIFICADO,C:\Users\Marcos\Mi unidad\FYS\Pagos_procesados\2026-01\WhatsApp Image 2026-01-12 at 10.55.53 AM.jpeg
2026-01,WhatsApp Image 2026-01-12 at 10.55.53 AM.jpeg,2026-01-12,0000032516,HIPERMERCADO FAMOSO CA,0.0,500.81,0.0,500.81,VERIFICADO,C:\Users\Marcos\Mi unidad\FYS\Pagos_procesados\2026-01\WhatsApp Image 2026-01-12 at 10.55.53 AM.jpeg
2026-01,WhatsApp Image 2026-01-12 at 10.55.53 AM.jpeg,2026-01-12,0000032517,HIPERMERCADO FAMOSO CA,0.0,154.14,0.0,154.14,VERIFICADO,C:\Users\Marcos\Mi unidad\FYS\Pagos_procesados\2026-01\WhatsApp Image 2026-01-12 at 10.55.53 AM.jpeg
2026-01,WhatsApp Image 2026-01-12 at 10.55.53 AM.jpeg,2026-01-12,0000032510,"INVERSIONES TIBACUY SINAI F,P",0.0,94.35,0.0,94.35,VERIFICADO,C:\Users\Marcos\Mi unidad\FYS\Pagos_procesados\2026-01\WhatsApp Image 2026-01-12 at 10.55.53 AM.jpeg
2026-01,WhatsApp Image 2026-01-12 at 12.02.56 PM.jpeg,2026-01-12,0000000016,"CASA DANA LECHERIA, C.A",0.0,452.36,0.0,452.36,VERIFICADO,C:\Users\Marcos\Mi unidad\FYS\Pagos_procesados\2026-01\WhatsApp Image 2026-01-12 at 12.02.56 PM.jpeg
