codigo,nombre,marca,lineas
000212,ALVARIGUA CARAOTA NEGRA 900GR X 24UND,ALVARIGUA,2
000260,ALVARIGUA MAIZ P/ COTUFA 400GR X 24UND,ALVARIGUA,1
000261,ALVARIGUA LENTEJAS 400GR X 24UND,ALVARIGUA,1
000441,ALVARIGUA SARDINA EN ACEITE VEGETAL 170GR X 24UND,ALVARIGUA,4
000442,ALVARIGUA SARDINA EN SALSA DE TOMATE 170GR X 24UND,ALVARIGUA,7
000443,ALVARIGUA SARDINA EN SALSA PICANTE 170GR X 24UND,ALVARIGUA,1
00057,MAIZORITOS CRONCH FLAKES 300GR X 12UND,MAIZORITOS,2
000715,ALVARIGUA CARAOTAS ROJAS 400GR X 24UND,ALVARIGUA,2
002632,OSOLE ACEITUNAS VERDES DESHUESADAS VIDRIO 340GR X 12UND,OSOLE,1
00517,MAIZORITOS CEREAL AROS AVENA CANELA 200GR X 12UND,MAIZORITOS,1
00565,OVOMALTINA 300GR X 8UND,OVOMALTINA,1
006038,AMANECER CAFE MOLIDO GOURMET 500GR X 10UND,AMANECER,2
006041,AMANECER CAFE MOLIDO GOURMET 200GR X 24UND,AMANECER,1
006042,AMANECER CAFE MOLIDO GOURMET 100GR X 50UND,AMANECER,3
006058,DELLA NONNA CAFE MOLIDO GOURMET 100GR X 50UND,DELLA,1
006061,DELLA NONNA CAFE MOLIDO GOURMET 200GR X 24UND,DELLA,3
0100164,CRUSTISSIMO PANQUE CHOCOLATE ESTUCHE 600GR X 6DISP X 12UND,CRUSTISSIMO,1
010180E,SANTONI ARROZ EXCELENTE TIPO I 900GR X 24UND,SANTONI,1
010180I,SANTONI ARROZ PREMIUM 900GR X 24UND,SANTONI,7
013329,"M&M´S PLAIN MILK 47,9GR DISP X 36PAQ",M,2
015024,SNICKER MINIS BOLSA 125GR X 12 BOLSAS X 15UND,SNICKER,2
01522,ALFONZO RIVAS MAIZINA AMERICANA 90GR X 50UND,ALFONZO,1
020108,CARABOBO SODA 240GR X 24UND,CARABOBO,3
020118,CARABOBO SODA 240GR X 12PAQ,CARABOBO,17
02040012,FRESCA TOALLAS SANITARIAS ULTRADELGADA DIA 48PAQ X 8UND,FRESCA,1
02040013,FRESCA TOALLAS SANITARIAS ULTRADELGADA NOCHE 48PAQ X 7UND,FRESCA,1
030083,REXONA DESODORANTE BARRA MEN V8 50GR X 12UND,REXONA,1
03045028,VALE AROMATIZANTE DE AMBIENTES OCEANO 300ML X 12UND,VALE,1
03045029,VALE AROMATIZANTE DE AMBIENTES PRIMAVERA 300ML X 12UND,VALE,1
031120,FAVORITO CAFE MOLIDO GOURMET 200GR X 24UND,FAVORITO,1
031557,AMANECER CARAOTAS NEGRAS 400GR X 20UND,AMANECER,2
0400025,LASSIE AVENA EN HOJUELAS BOLSA 800GR X 12UND,LASSIE,2
0400026,LASSIE AVENA EN HOJUELAS BOLSA 400GR X 24UND,LASSIE,3
0400069,LA COMADRE ADOBO ENVASE 200GR X 24UND,LA,14
0400793,LA COMADRE COMINO MOLIDO 44GR X 12UND,LA,2
0401896,MONICA ARROZ TIPO I 900GR X 24UND,MONICA,17
0401934,JUANA MEZCLA PARA CACHAPAS 400GR X 12UND,JUANA,11
0401947,ROBIN HOOD HARINA DE TRIGO TODO USO 900GR X 20UND,ROBIN,11
0401952,ROBIN HOOD HARINA DE TRIGO LEUDANTE 900GR X 20UND,ROBIN,23
0401953,JUANA HARINA CLASICA 900GR X 20UND,JUANA,17
0401981,JUANA MARGARINA TODO USO 454GR X 12UND,JUANA,7
0401982,LA COMADRE ACEITE VEGETAL 828ML X 12UND,LA,14
0402014,ROBIN HOOD AVENA EN HOJUELAS 400GR X 24UND,ROBIN,3
0402015,ROBIN HOOD AVENA EN HOJUELAS 800GR X 12UND,ROBIN,2
04060012,DALAN JABON EN BARRA SPRING FRESH 115GR X 3 X 24UND,DALAN,2
04122,FLIPS CHOCOLATE 220GR X 24UND,FLIPS,2
0420000041,ORIENTAL ACEITE SOYA 500ML X 12UND,ORIENTAL,2
0420000052,ORIENTAL ACEITE SOYA 900ML X 12UND,ORIENTAL,1
0420000079,ORIENTAL ACEITE SOYA 700ML X 12UND,ORIENTAL,3
0420009,ORIENTAL ACEITE SOYA 828ML X 12UND,ORIENTAL,6
04380012,DALAN JABON EN BARRA MICELAR PASSION DE PAPAYA 125GR X 3 X 24UND,DALAN,5
