mes,archivo,n_facturas,suma_extraida,total_general_pdf,diff,validacion,ruta_pdf
2026-01,FACT. TABATA MACOS 10-01-26.pdf,3,827.24,827.24,0.0,OK,C:\Users\Marcos\Mi unidad\FYS\Facturas\2026-01\FACT. TABATA MACOS 10-01-26.pdf
2026-01,FACT. TABATA MARCOS 06-01-26.pdf,17,9419.78,9419.78,0.0,OK,C:\Users\Marcos\Mi unidad\FYS\Facturas\2026-01\FACT. TABATA MARCOS 06-01-26.pdf
2026-01,FACT. TABATA MARCOS 07-01-26 2.pdf,14,9228.2,9228.2,0.0,OK,C:\Users\Marcos\Mi unidad\FYS\Facturas\2026-01\FACT. TABATA MARCOS 07-01-26 2.pdf
2026-01,FACT. TABATA MARCOS 07-01-26.pdf,5,6737.15,6737.15,0.0,OK,C:\Users\Marcos\Mi unidad\FYS\Facturas\2026-01\FACT. TABATA MARCOS 07-01-26.pdf
2026-01,FACT. TABATA MARCOS 14-01-26.pdf,2,1395.56,1395.56,0.0,OK,C:\Users\Marcos\Mi unidad\FYS\Facturas\2026-01\FACT. TABATA MARCOS 14-01-26.pdf
2026-01,FACT. TABATA MARCOS 16-01-26.pdf,6,1000.05,1000.05,0.0,OK,C:\Users\Marcos\Mi unidad\FYS\Facturas\2026-01\FACT. TABATA MARCOS 16-01-26.pdf
2026-01,FACT. TABATA MARCOS 20-01-26.pdf,16,3891.6,3891.6,0.0,OK,C:\Users\Marcos\Mi unidad\FYS\Facturas\2026-01\FACT. TABATA MARCOS 20-01-26.pdf
2026-01,FACT. TABATA MARCOS 21-01-26.pdf,8,2749.08,2749.08,0.0,OK,C:\Users\Marcos\Mi unidad\FYS\Facturas\2026-01\FACT. TABATA MARCOS 21-01-26.pdf
2026-01,FACT. TABATA MARCOS 22-01-26.pdf,7,2311.81,2311.81,0.0,OK,C:\Users\Marcos\Mi unidad\FYS\Facturas\2026-01\FACT. TABATA MARCOS 22-01-26.pdf
2026-01,FACT. TABATA MARCOS 24-01-26.pdf,8,2488.59,2488.59,0.0,OK,C:\Users\Marcos\Mi unidad\FYS\Facturas\2026-01\FACT. TABATA MARCOS 24-01-26.pdf
2026-01,FACT. TABATA MARCOS 26-01-26.pdf,6,2225.45,2225.45,0.0,OK,C:\Users\Marcos\Mi unidad\FYS\Facturas\2026-01\FACT. TABATA MARCOS 26-01-26.pdf
2026-01,FACT. TABATA MARCOS 28-01-26.pdf,8,3022.17,3022.17,0.0,OK,C:\Users\Marcos\Mi unidad\FYS\Facturas\2026-01\FACT. TABATA MARCOS 28-01-26.pdf
2026-01,FACT. TABATA MARCOS 29-01-26.pdf,9,2372.66,2372.66,0.0,OK,C:\Users\Marcos\Mi unidad\FYS\Facturas\2026-01\FACT. TABATA MARCOS 29-01-26.pdf
2026-01,FACT. TABATA MARCOS 31-01-26.pdf,9,2680.5,2680.5,0.0,OK,C:\Users\Marcos\Mi unidad\FYS\Facturas\2026-01\FACT. TABATA MARCOS 31-01-26.pdf
2026-02,FACT. TABATA MARCOS 02-02-26.pdf,9,5343.16,5343.16,0.0,OK,C:\Users\Marcos\Mi unidad\FYS\Facturas\2026-02\FACT. TABATA MARCOS 02-02-26.pdf
2026-02,FACT. TABATA MARCOS 03-02-26.pdf,6,1690.0,1690.0,0.0,OK,C:\Users\Marcos\Mi unidad\FYS\Facturas\2026-02\FACT. TABATA MARCOS 03-02-26.pdf
2026-02,FACT. TABATA MARCOS 04-02-26.pdf,5,1021.76,1021.76,0.0,OK,C:\Users\Marcos\Mi unidad\FYS\Facturas\2026-02\FACT. TABATA MARCOS 04-02-26.pdf
2026-02,FACT. TABATA MARCOS 05-02-26.pdf,5,1957.6,1957.6,0.0,OK,C:\Users\Marcos\Mi unidad\FYS\Facturas\2026-02\FACT. TABATA MARCOS 05-02-26.pdf
2026-02,FACT. TABATA MARCOS 07-02-26.pdf,1,502.74,502.74,0.0,OK,C:\Users\Marcos\Mi unidad\FYS\Facturas\2026-02\FACT. TABATA MARCOS 07-02-26.pdf
2026-02,FACT. TABATA MARCOS 09-02-26.pdf,12,2498.96,2498.96,0.0,OK,C:\Users\Marcos\Mi unidad\FYS\Facturas\2026-02\FACT. TABATA MARCOS 09-02-26.pdf
2026-02,FACT. TABATA MARCOS 10-02-26.pdf,4,1225.97,1225.97,0.0,OK,C:\Users\Marcos\Mi unidad\FYS\Facturas\2026-02\FACT. TABATA MARCOS 10-02-26.pdf
2026-02,FACT. TABATA MARCOS 11-02-26.pdf,1,228.0,228.0,0.0,OK,C:\Users\Marcos\Mi unidad\FYS\Facturas\2026-02\FACT. TABATA MARCOS 11-02-26.pdf
2026-02,FACT. TABATA MARCOS 12-02-26.pdf,10,2535.81,2535.81,0.0,OK,C:\Users\Marcos\Mi unidad\FYS\Facturas\2026-02\FACT. TABATA MARCOS 12-02-26.pdf
2026-02,FACT. TABATA MARCOS 17-02-26.pdf,12,1672.63,1672.63,0.0,OK,C:\Users\Marcos\Mi unidad\FYS\Facturas\2026-02\FACT. TABATA MARCOS 17-02-26.pdf
2026-02,FACT. TABATA MARCOS 18-02-26.pdf,5,3198.68,3198.68,0.0,OK,C:\Users\Marcos\Mi unidad\FYS\Facturas\2026-02\FACT. TABATA MARCOS 18-02-26.pdf
2026-02,FACT. TABATA MARCOS 19-02-26.pdf,6,1530.69,1530.69,0.0,OK,C:\Users\Marcos\Mi unidad\FYS\Facturas\2026-02\FACT. TABATA MARCOS 19-02-26.pdf
2026-02,FACT. TABATA MARCOS 20-02-26.pdf,12,4147.99,4147.99,0.0,OK,C:\Users\Marcos\Mi unidad\FYS\Facturas\2026-02\FACT. TABATA MARCOS 20-02-26.pdf
2026-02,FACT. TABATA MARCOS 21-02-26.pdf,1,616.71,616.71,0.0,OK,C:\Users\Marcos\Mi unidad\FYS\Facturas\2026-02\FACT. TABATA MARCOS 21-02-26.pdf
