archivo,fecha,documento,cliente,n_lineas,suma_cantidad,cajas_esperada,diff,estado
FACT. TABATA MACOS 10-01-26.pdf,10/01/2026,0000000421,BODEGON EL IMPERIO C A,9,3.46,3.46,0.0,VALIDADO
FACT. TABATA MACOS 10-01-26.pdf,10/01/2026,0000000422,FRESH MARKET C.A.,9,13.0,13.0,0.0,VALIDADO
FACT. TABATA MACOS 10-01-26.pdf,10/01/2026,0000000423,"INSIEME, S.A.",15,12.5,12.5,0.0,VALIDADO
FACT. TABATA MARCOS 06-01-26.pdf,06/01/2026,0000000052,"AUTOMERCADO LOS AMIGOS, C.A",10,19.0,19.0,0.0,VALIDADO
FACT. TABATA MARCOS 06-01-26.pdf,06/01/2026,0000000053,CHANG SUPERMARKET 29 DE MARZO,5,2.08,2.08,0.0,VALIDADO
FACT. TABATA MARCOS 06-01-26.pdf,06/01/2026,0000000054,COMERCIAL EL GRAN MUNDO 888 CA,25,31.5,31.5,0.0,VALIDADO
FACT. TABATA MARCOS 06-01-26.pdf,06/01/2026,0000000055,"DEPOSITADORA GIGANTE, C.A.",2,1.5,1.5,0.0,VALIDADO
FACT. TABATA MARCOS 06-01-26.pdf,06/01/2026,0000000056,DISTRIBUIDORA MEGAMAXI C.A,3,3.0,3.0,0.0,VALIDADO
FACT. TABATA MARCOS 06-01-26.pdf,06/01/2026,0000000057,EL BODEGON DE MOREIRA CA,14,19.0,19.0,0.0,VALIDADO
FACT. TABATA MARCOS 06-01-26.pdf,06/01/2026,0000000058,LI MEGA PORTELA F.P,3,30.0,30.0,0.0,VALIDADO
FACT. TABATA MARCOS 06-01-26.pdf,06/01/2026,0000000059,LIELISBETH GABRIELA CORDERO ( CORDERO ALEIRBAG SHOP FP),17,5.94,5.93,0.01,VALIDADO
FACT. TABATA MARCOS 06-01-26.pdf,06/01/2026,0000000060,SUPERMERCADO BARRIO SUCRE 88 F.P,7,3.25,3.25,0.0,VALIDADO
FACT. TABATA MARCOS 06-01-26.pdf,06/01/2026,0000000061,SUPERMERCADO DIECIOCHO,47,44.9,44.91,-0.01,VALIDADO
FACT. TABATA MARCOS 06-01-26.pdf,06/01/2026,0000000062,SUPERMERCADO EL ORIENTE DORADO CA,25,24.83,24.83,0.0,VALIDADO
FACT. TABATA MARCOS 06-01-26.pdf,06/01/2026,0000000063,SUPERMERCADO EL ORIENTE DORADO CA,22,13.38,13.37,0.01,VALIDADO
FACT. TABATA MARCOS 06-01-26.pdf,06/01/2026,0000000064,"SUPERTODO BOULEVARD, C.A",14,13.67,13.67,0.0,VALIDADO
FACT. TABATA MARCOS 06-01-26.pdf,06/01/2026,0000000065,"URANGA INVERSIONES, F.P",23,46.0,46.0,0.0,VALIDADO
FACT. TABATA MARCOS 06-01-26.pdf,06/01/2026,0000000066,WU COMERCIAL BRISAS DEL MAR M.Y F.P,24,38.25,38.25,0.0,VALIDADO
FACT. TABATA MARCOS 06-01-26.pdf,06/01/2026,0000000067,WU ZEYUAN UNIMERCADO FAVORITO FP,1,2.0,2.0,0.0,VALIDADO
FACT. TABATA MARCOS 06-01-26.pdf,06/01/2026,0000000071,LIANG SUPERMERCADO CHAO 88 FP,21,21.0,21.0,0.0,VALIDADO
FACT. TABATA MARCOS 07-01-26 2.pdf,07/01/2026,0000000173,"FANG KING MARKET F,P",3,2.0,2.0,0.0,VALIDADO
FACT. TABATA MARCOS 07-01-26 2.pdf,07/01/2026,0000000174,INVERSIONES Y DISTRIBUCION RJ,1,4.0,4.0,0.0,VALIDADO
FACT. TABATA MARCOS 07-01-26 2.pdf,07/01/2026,0000000175,"MINI SUPER 2017,C.A.",10,63.0,63.0,0.0,VALIDADO
FACT. TABATA MARCOS 07-01-26 2.pdf,07/01/2026,0000000128,"INSIEME, S.A.",21,51.11,51.11,0.0,VALIDADO
FACT. TABATA MARCOS 07-01-26 2.pdf,07/01/2026,0000000176,"ALIMERKA, C.A.",11,13.58,13.58,0.0,VALIDADO
FACT. TABATA MARCOS 07-01-26 2.pdf,07/01/2026,0000000177,"BODEMARKET,C.A",21,10.07,10.05,0.02,VALIDADO
FACT. TABATA MARCOS 07-01-26 2.pdf,07/01/2026,0000000178,"CASA DANA LECHERIA, C.A",3,15.0,15.0,0.0,VALIDADO
