Fecha;Documento;Nombre;Efectivo;Transferencia Bancaria
13/3/2026;PAG-0000003748;SUPERMERCADO BARRIO SUCRE 88 F.P;69,25;0,00
13/3/2026;PAG-0000003749;THE HAO SUPERMARKET, C.A;0,00;1.004,34
13/3/2026;PAG-0000003750;AUTOMERCADO Y PANADERIA LA NARANJA, C. A.;0,00;100,00
13/3/2026;PAG-0000003758;AUTOMERCADO DAVID FP;0,00;56,43
13/3/2026;PAG-0000003759;AUTO MERCADO UNIOFERTAS CENTER C A;0,00;57,79
13/3/2026;PAG-0000003760;CEN SUPER MARKET;0,00;135,77
13/3/2026;PAG-0000003761;COMERCIAL EL GRAN MUNDO 888 CA;0,00;694,41
13/3/2026;PAG-0000003762;LA FRAGATA EXQUISITECES CA;0,00;152,33
13/3/2026;PAG-0000003763;DISTRIBUIDORA MEGAMAXI C.A;0,00;86,75
13/3/2026;PAG-0000003764;MERCATODOS ANZOATEGUI, C.A;0,00;582,85
13/3/2026;PAG-0000003765;MINI SUPER 2017,C.A.;0,00;3.617,34
13/3/2026;PAG-0000003775;MINI SUPER 2017,C.A.;0,00;168,53
13/3/2026;PAG-0000003805;SUPERMERCADO BARRIO SUCRE 88 F.P;0,00;164,19
13/3/2026;PAG-0000003806;AUTOMERCADO LOS AMIGOS, C.A;0,00;820,56
13/3/2026;PAG-0000003807;CHACIN MINI ABASTO FP;0,00;161,39
13/3/2026;PAG-0000003808;COMERCIALIZADORA Y DISTRIBUIDORA CHACIN Y AURA, C.A.;0,00;82,52
17/3/2026;PAG-0000003965;COMERCIALIZADORA PEREDA;0,00;67,00
17/3/2026;PAG-0000003966;COMERCIALIZADORA PEREDA;0,00;25,36
17/3/2026;PAG-0000003967;MARKET LUISAR CA;0,00;31,31
17/3/2026;PAG-0000003968;INSIEME, S.A.;0,00;335,80
17/3/2026;PAG-0000003969;SUPERMERCADO MINGYU CA;0,00;778,46
17/3/2026;PAG-0000003970;INVERSIONES TIBACUY SINAI F,P;0,00;250,00
18/3/2026;PAG-0000004033;EXQUISITECES Y CHARCUTERIA AEROPAN C A;0,00;0,00
18/3/2026;PAG-0000004035;EXQUISITECES Y CHARCUTERIA AEROPAN C A;0,00;309,65
18/3/2026;PAG-0000004037;EMPRENDIMIENTO SHADI HAMAD;0,00;211,09
18/3/2026;PAG-0000004038;AUTOMERCADO Y PANADERIA LA NARANJA, C. A.;0,00;99,99
18/3/2026;PAG-0000004039;SUPERMERCADO DIECIOCHO;0,00;339,39
18/3/2026;PAG-0000004040;AUTOMERCADO PACIFICO;0,00;187,18
18/3/2026;PAG-0000004041;MINI SUPER 2017,C.A.;0,00;450,17
18/3/2026;PAG-0000004043;VIVERES ASIA;0,00;281,64
18/3/2026;PAG-0000004044;VIVERES ASIA;0,00;124,42
18/3/2026;PAG-0000004047;DISTRIBUIDORA MEGAMAXI C.A;0,00;122,42
18/3/2026;PAG-0000004048;MINI SUPER 2017,C.A.;0,00;386,96
18/3/2026;PAG-0000004049;NG DARLI MUNDO FP;0,00;283,86
18/3/2026;PAG-0000004050;MINIMARKET SURTIORIENTE CA;0,00;422,35
18/3/2026;PAG-0000004066;ARIANNE SOFIA MORALES HERRERA;0,00;300,00
18/3/2026;PAG-0000004067;AUTOMERCADO CLASIC URBANEJA, C.A;0,00;283,19
18/3/2026;PAG-0000004068;AUTOMERCADO MIXMARKET CA;0,00;86,20
18/3/2026;PAG-0000004069;MINI SUPER 2017,C.A.;0,00;10,84
18/3/2026;PAG-0000004070;PANADERIA Y EXQUISITECES MISS ORIENTAL, C.A;0,00;614,47
18/3/2026;PAG-0000004071;SUPERMERCADO EL ORIENTE DORADO CA;0,00;463,39
18/3/2026;PAG-0000004072;SUPERMERCADO Y CONFITERIA DISNEY;0,00;151,64
18/3/2026;PAG-0000004109;MINI SUPER 2017,C.A.;0,00;546,14
19/3/2026;PAG-0000004152;MINI MARKET SUPERGANGA, C.A;0,00;490,09
19/3/2026;PAG-0000004205;TODO MARKET, C.A.;0,00;1.150,70
19/3/2026;PAG-0000004206;FARMACIAS SUPER FARMA CA;0,00;497,04
19/3/2026;PAG-0000004233;COMERCIALIZADORA PEREDA;0,00;90,00
19/3/2026;PAG-0000004255;ZHENG INVERSIONES SUPERIOR FP;0,00;300,84
19/3/2026;PAG-0000004256;REAL Y MEDIO SUPERMERCADO CA;0,00;383,72
19/3/2026;PAG-0000004262;EL CONDIMENTAZO DEL BOULEVARD CA;0,00;456,95
19/3/2026;PAG-0000004263;CEN SUPER MARKET;0,00;144,70
19/3/2026;PAG-0000004264;ALVAREZ PLAZA MARKET F.P;273,34;0,00
20/3/2026;PAG-0000004273;WU ZEYUAN UNIMERCADO FAVORITO FP;0,00;229,77
20/3/2026;PAG-0000004287;FRIGORIFICOS BRAVOS DELI CA;0,00;86,90
23/3/2026;PAG-0000004348;FANG KING MARKET F,P;0,00;46,00
23/3/2026;PAG-0000004350;MULTITIENDA BARCELONA C A;0,00;110,43
23/3/2026;PAG-0000004398;LIANG SUPERMERCADO CHAO 88 FP;0,00;696,00
23/3/2026;PAG-0000004399;CHANG SUPERMARKET 29 DE MARZO;0,00;207,57
23/3/2026;PAG-0000004404;VICT LEAND MARKET CA;0,00;475,22
